timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,user_agent,url,is_internal_traffic,label,attack_type,prediction
2025-10-01 00:12:54,18817627165,253240113218,56377,445,0,8029,17204,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://webmail.corp/login?id=385071,0,0,benign,1
2025-10-01 00:23:43,68592643,2127538111,51165,1433,0,676368,2643374,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://portal.example.org/owa/auth/logon.aspx?id=280743,0,0,benign,-1
2025-10-01 00:27:21,122119194175,17514078230,36097,443,0,70933,21935,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://webmail.corp/phpmyadmin?id=114701,0,0,benign,1
2025-10-01 00:40:09,18119924268,559917769,445,21255,0,12721,9939,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://portal.example.org/config.php?id=345569,0,0,benign,-1
2025-10-01 01:19:57,238229195174,161827224,25167,443,0,3592,1081,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",https://internal.bank.local/?id=432022,1,0,benign,-1
2025-10-01 01:34:30,812149235,119871917,37602,22,0,123317,41293,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://webmail.corp/phpmyadmin?id=957608,0,0,benign,1
2025-10-01 01:35:33,137181221157,4412413254,18315,53,0,97222,233071,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0,https://internal.bank.local/admin?id=567716,0,0,benign,1
2025-10-01 01:57:54,6950130168,20251199195,12037,80,1,136311,418831,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",https://api.service.io/owa/auth/logon.aspx?id=897930,1,0,benign,-1
2025-10-01 03:38:42,115179112186,23684149193,37290,1433,0,405720,1305168,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),https://api.service.io/wp-login.php?id=407810,0,0,benign,-1
2025-10-01 03:56:27,74729241,211923692,10972,22,0,17511,35981,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",https://internal.bank.local/manager/html?id=204536,0,0,benign,1
